area,cncrrate,cncrcase,areapop,smkrate,smksample
Alabama,64.2,3985,4860545,20.9,6472
Alaska,54.9,362,741522,21,3084
Arizona,44.3,3886,6908642,15.6,14770
Arkansas,76.5,2884,2988231,22.3,5100
California,38.2,16177,39296476,11.3,8717
Colorado,40.2,2346,5530105,14.6,8930
Connecticut,58.6,2724,3587685,12.7,10072
Delaware,67.1,862,952698,17,3959
District of Columbia,38.9,257,684336,14.3,3748
Florida,55.3,16878,20656589,16.1,21035
Georgia,61.2,6785,10313620,17.5,5726
Hawaii,44.5,820,1428683,12.8,7422
Idaho,47.8,920,1680026,14.3,4748
Illinois,62.2,9374,12835726,15.5,5345
Indiana,70.4,5567,6634007,21.8,13261
Iowa,58.6,2341,3130869,17.1,7437
Kansas,55.4,1918,2907731,17.4,20693
Kentucky,86.8,4761,4436113,24.6,8345
Louisiana,63.8,3492,4686157,23.1,4534
Maine,73.5,1453,1330232,17.3,9326
Maryland,53.8,3802,6024752,13.8,12944
Massachusetts,56.7,4835,6823721,13.7,6668
Michigan,60,7676,9933445,19.3,10500
Minnesota,55.1,3651,5525050,14.5,16427
Mississippi,75,2684,2985415,22.2,4818
Missouri,68,5256,6091176,20.8,7376
Montana,52.2,727,1038656,17.2,5786
Nebraska,51.2,1160,1907603,15.4,14849
Nevada,50.5,1724,2939254,17.6,3643
New Hampshire,62.4,1134,1335015,15.7,5503
New Jersey,53.6,5880,8978416,13.7,11221
New Mexico,36.4,950,2085432,17.5,6254
New York,56.9,13871,19836286,14.1,11555
North Carolina,65.3,8092,10156689,17.2,4741
North Dakota,53.6,459,755548,18.3,6742
Ohio,64.9,9652,11622554,21.1,11879
Oklahoma,63.3,2955,3921207,20.1,6371
Oregon,50.1,2608,4085989,16.1,5127
Pennsylvania,62.9,10941,12787085,18.7,6353
Rhode Island,68.5,937,1057566,14.9,5387
South Carolina,59.7,3854,4959822,18.8,10896
South Dakota,58.2,620,861542,19.3,6837
Tennessee,70.9,5900,6649404,22.6,5567
Texas,48.5,13199,27904862,15.7,11697
Utah,25.1,652,3044321,8.9,9971
Vermont,60.5,530,623354,15.8,6218
Virginia,56.6,5635,8414380,16.4,9285
Washington,53.2,4468,7280934,13.5,12787
West Virginia,75.4,1993,1828637,26,5373
Wisconsin,58.3,4276,5772917,16,5538
Wyoming,44.7,316,584910,18.7,4363
